#iter iter*batch time loss_G_GAN loss_G_L1 loss_D_real loss_D_fake
3332 13328 2801.367 8.530 1.903 0.010 0.001
3333 13332 2802.318 8.492 1.844 0.007 0.001
3334 13336 2803.282 8.466 1.871 0.005 0.001
3335 13340 2804.040 8.452 1.727 0.006 0.001
3336 13344 2804.857 8.427 1.809 0.005 0.001
3337 13348 2805.695 8.404 1.832 0.006 0.001
3338 13352 2806.784 8.401 1.907 0.006 0.001
3339 13356 2807.753 8.400 1.757 0.005 0.001
3340 13360 2808.548 8.366 1.716 0.005 0.001
3341 13364 2809.824 8.349 1.746 0.005 0.001
3342 13368 2811.047 8.340 1.829 0.005 0.001
3343 13372 2811.674 8.325 1.707 0.006 0.001
3344 13376 2812.553 8.299 1.768 0.005 0.001
3345 13380 2813.601 8.309 1.758 0.004 0.001
3346 13384 2814.539 8.295 1.796 0.004 0.001
3347 13388 2815.565 8.298 1.732 0.004 0.001
3348 13392 2816.773 8.282 1.694 0.003 0.001
3349 13396 2817.939 8.280 1.693 0.004 0.001
3350 13400 2819.191 8.278 1.678 0.004 0.001
3351 13404 2820.591 8.263 1.638 0.003 0.001
3352 13408 2821.468 8.250 1.753 0.003 0.001
3353 13412 2822.211 8.260 1.692 0.003 0.001
3354 13416 2823.027 8.247 1.765 0.003 0.001
3355 13420 2823.984 8.222 1.755 0.003 0.001
3356 13424 2825.131 8.215 1.745 0.002 0.001
3357 13428 2825.921 8.193 1.718 0.003 0.001
3358 13432 2826.999 8.207 1.689 0.002 0.001
3359 13436 2828.130 8.207 1.652 0.002 0.001
3360 13440 2829.170 8.205 1.599 0.002 0.001
3361 13444 2829.651 8.200 1.627 0.003 0.001
3362 13448 2830.418 8.189 1.714 0.002 0.001
3363 13452 2831.260 8.175 1.695 0.003 0.001
3364 13456 2832.255 8.192 1.690 0.002 0.001
3365 13460 2833.197 8.162 1.607 0.002 0.001
3366 13464 2834.449 8.150 1.711 0.002 0.001
3367 13468 2835.531 8.152 1.674 0.002 0.001
3368 13472 2836.527 8.172 1.827 0.002 0.001
3369 13476 2837.330 8.139 1.712 0.002 0.001
3370 13480 2838.128 8.134 1.700 0.002 0.001
3371 13484 2838.593 8.124 1.777 0.002 0.001
3372 13488 2839.075 8.119 1.732 0.002 0.001
3373 13492 2839.555 8.106 1.719 0.002 0.001
3374 13496 2840.045 8.090 1.843 0.002 0.001
3375 13500 2840.535 8.073 1.878 0.002 0.001
3376 13504 2841.157 8.068 1.634 0.002 0.001
3377 13508 2841.832 8.045 1.743 0.002 0.001
3378 13512 2842.753 8.020 1.607 0.002 0.001
3379 13516 2844.925 7.996 1.828 0.002 0.001
3380 13520 2846.364 7.996 1.759 0.002 0.001
3381 13524 2846.965 7.964 1.726 0.002 0.001
3382 13528 2847.614 7.947 1.788 0.001 0.001
3383 13532 2848.186 7.905 1.703 0.002 0.001
3384 13536 2849.214 7.879 1.778 0.002 0.001
3385 13540 2850.331 7.808 1.752 0.002 0.001
3386 13544 2851.398 7.763 1.787 0.002 0.001
3387 13548 2852.163 7.665 1.753 0.002 0.001
3388 13552 2853.161 7.608 1.736 0.002 0.001
3389 13556 2853.982 7.478 1.765 0.002 0.001
3390 13560 2854.901 7.202 1.774 0.002 0.001
3391 13564 2855.736 6.291 1.825 0.002 0.003
3392 13568 2856.568 5.908 1.743 0.001 0.004
3393 13572 2857.114 5.474 1.791 0.002 0.076
3394 13576 2857.596 7.220 1.904 0.002 0.001
3395 13580 2858.455 7.427 1.759 0.002 0.001
3396 13584 2859.523 6.831 1.771 0.003 0.002
3397 13588 2860.602 4.888 1.773 0.002 0.022
3398 13592 2861.281 7.022 1.786 0.002 0.002
3399 13596 2862.331 6.754 1.719 0.003 0.002
3400 13600 2863.598 4.239 1.805 0.004 0.095
3401 13604 2864.935 5.987 1.865 0.004 0.007
3402 13608 2865.831 4.450 1.753 0.007 0.027
3403 13612 2866.581 3.150 1.866 0.007 0.136
3404 13616 2867.634 4.017 1.760 0.013 0.365
3405 13620 2868.241 7.608 1.845 0.179 0.001
3406 13624 2869.562 4.268 1.804 0.039 0.353
3407 13628 2870.548 2.816 1.758 0.526 0.072
3408 13632 2871.198 6.703 1.814 0.145 0.001
3409 13636 2872.030 5.607 1.793 0.036 0.004
3410 13640 2872.792 5.999 1.797 0.013 0.500
3411 13644 2873.614 7.934 1.768 0.257 0.001
3412 13648 2874.466 5.701 1.808 0.088 0.005
3413 13652 2875.077 5.418 1.851 0.036 0.010
3414 13656 2875.744 4.258 1.936 0.019 0.696
3415 13660 2876.552 5.920 1.841 0.322 0.006
3416 13664 2877.149 4.914 1.680 0.076 0.010
3417 13668 2877.847 5.607 1.785 0.071 0.006
3418 13672 2878.534 3.548 1.772 0.025 0.182
3419 13676 2879.107 8.649 1.808 0.044 0.001
3420 13680 2879.931 8.781 1.917 0.042 0.000
3421 13684 2880.609 8.727 1.850 0.021 0.000
3422 13688 2881.291 8.569 1.859 0.014 0.001
3423 13692 2881.962 8.352 1.821 0.011 0.001
3424 13696 2882.582 8.119 1.875 0.010 0.001
3425 13700 2883.556 7.778 1.802 0.010 0.001
3426 13704 2884.525 6.767 1.765 0.009 0.003
3427 13708 2885.861 7.858 2.013 0.007 0.001
3428 13712 2886.553 7.904 1.961 0.006 0.001
3429 13716 2887.193 7.144 2.011 0.006 0.002
3430 13720 2887.735 6.331 2.011 0.006 0.005
3431 13724 2888.147 6.672 1.896 0.006 0.003
3432 13728 2888.692 5.244 1.962 0.005 0.208
3433 13732 2889.317 8.411 1.929 0.022 0.001
3434 13736 2889.832 8.562 1.925 0.076 0.001
3435 13740 2890.720 8.413 1.975 0.016 0.001
3436 13744 2891.732 8.254 2.079 0.014 0.001
3437 13748 2892.748 7.983 1.836 0.017 0.001
3438 13752 2893.957 7.378 1.878 0.014 0.002
3439 13756 2894.943 4.963 1.867 0.007 0.016
3440 13760 2896.502 8.257 1.954 0.006 0.001
3441 13764 2897.958 8.028 2.026 0.006 0.001
3442 13768 2898.674 7.309 1.927 0.006 0.002
3443 13772 2899.211 8.687 1.895 0.006 0.000
3444 13776 2899.696 8.758 1.935 0.005 0.000
3445 13780 2900.268 8.777 1.913 0.005 0.000
3446 13784 2901.097 8.741 1.921 0.004 0.000
3447 13788 2901.621 8.700 1.837 0.004 0.000
3448 13792 2902.345 8.680 1.916 0.005 0.000
3449 13796 2903.172 8.653 1.948 0.004 0.000
3450 13800 2903.856 8.608 1.915 0.003 0.000
3451 13804 2904.475 8.561 1.803 0.004 0.000
3452 13808 2905.163 8.502 1.789 0.003 0.000
3453 13812 2906.391 8.410 1.819 0.003 0.000
3454 13816 2907.347 8.207 1.879 0.003 0.001
3455 13820 2908.363 7.475 1.862 0.003 0.001
3456 13824 2909.378 7.705 1.913 0.003 0.001
3457 13828 2910.121 7.491 1.927 0.003 0.001
3458 13832 2910.603 5.678 1.900 0.003 0.008
3459 13836 2911.166 8.505 1.912 0.003 0.000
3460 13840 2911.759 8.677 2.023 0.003 0.000
3461 13844 2912.332 8.680 1.750 0.003 0.000
3462 13848 2912.980 8.677 1.860 0.004 0.000
3463 13852 2913.671 8.649 1.810 0.002 0.000
3464 13856 2914.481 8.619 1.917 0.004 0.000
3465 13860 2915.091 8.576 1.832 0.003 0.000
3466 13864 2915.885 8.552 1.885 0.002 0.000
3467 13868 2916.793 8.529 1.789 0.002 0.000
3468 13872 2917.638 8.512 1.859 0.002 0.000
3469 13876 2918.679 8.488 1.807 0.002 0.000
3470 13880 2919.551 8.450 1.864 0.003 0.000
3471 13884 2920.460 8.449 1.810 0.002 0.000
3472 13888 2921.460 8.417 1.914 0.002 0.000
3473 13892 2922.810 8.390 1.879 0.002 0.000
3474 13896 2923.784 8.392 1.901 0.002 0.000
3475 13900 2924.791 8.390 1.800 0.002 0.000
3476 13904 2926.139 8.362 1.815 0.002 0.000
3477 13908 2926.896 8.344 1.689 0.002 0.000
3478 13912 2927.651 8.297 1.975 0.002 0.001
3479 13916 2928.226 8.316 1.712 0.001 0.001
3480 13920 2928.899 8.298 1.798 0.002 0.001
3481 13924 2929.462 8.253 1.819 0.002 0.001
3482 13928 2930.854 8.255 1.756 0.002 0.001
3483 13932 2932.050 8.203 1.775 0.002 0.001
3484 13936 2933.282 8.167 1.701 0.002 0.001
3485 13940 2934.351 8.153 1.894 0.002 0.001
3486 13944 2935.386 8.106 1.774 0.001 0.001
3487 13948 2936.402 8.072 1.833 0.002 0.001
3488 13952 2937.197 8.033 1.914 0.002 0.001
3489 13956 2938.059 7.959 1.821 0.002 0.001
3490 13960 2938.639 7.850 1.771 0.001 0.001
3491 13964 2939.310 7.589 1.763 0.001 0.001
3492 13968 2939.889 6.254 1.747 0.002 0.006
3493 13972 2940.515 8.650 1.883 0.002 0.001
3494 13976 2941.016 8.710 1.795 0.002 0.001
3495 13980 2941.607 8.645 1.870 0.001 0.001
3496 13984 2942.621 8.646 2.029 0.002 0.001
3497 13988 2943.665 8.609 1.835 0.001 0.001
3498 13992 2945.314 8.558 1.801 0.001 0.001
3499 13996 2946.118 8.506 1.849 0.002 0.001
3500 14000 2947.142 8.443 1.804 0.001 0.001
3501 14004 2948.261 8.363 1.835 0.001 0.001
3502 14008 2949.475 8.224 1.783 0.001 0.001
3503 14012 2950.710 8.017 1.814 0.001 0.001
3504 14016 2952.019 7.693 1.827 0.001 0.002
3505 14020 2953.179 7.172 1.916 0.002 0.003
3506 14024 2953.758 6.431 1.903 0.001 0.006
3507 14028 2954.284 6.640 1.839 0.001 0.004
3508 14032 2954.747 6.023 1.826 0.001 0.008
3509 14036 2955.282 7.021 1.789 0.001 0.003
3510 14040 2955.992 6.320 1.953 0.002 0.006
3511 14044 2957.080 6.353 1.841 0.001 0.005
3512 14048 2958.022 5.859 1.822 0.001 0.008
3513 14052 2958.937 6.580 1.732 0.002 0.004
3514 14056 2960.001 5.352 1.748 0.002 0.014
3515 14060 2961.083 6.011 1.855 0.002 0.006
3516 14064 2962.041 5.454 1.828 0.002 0.008
3517 14068 2963.116 6.426 1.947 0.002 0.003
3518 14072 2963.959 5.026 2.051 0.002 0.318
3519 14076 2964.744 8.827 2.031 0.017 0.000
3520 14080 2965.360 9.036 1.860 0.056 0.000
3521 14084 2966.139 8.782 1.746 0.025 0.000
3522 14088 2966.776 8.373 1.840 0.021 0.000
3523 14092 2967.444 7.341 1.829 0.013 0.001
3524 14096 2968.373 7.049 1.851 0.010 0.002
3525 14100 2969.482 6.093 1.778 0.007 0.003
3526 14104 2970.591 4.221 1.810 0.008 0.025
3527 14108 2971.593 4.818 1.799 0.007 0.017
3528 14112 2972.555 4.225 1.775 0.006 0.028
3529 14116 2973.632 3.300 1.723 0.007 0.160
3530 14120 2974.455 5.066 1.950 0.025 0.017
3531 14124 2975.372 8.577 1.907 0.030 0.000
3532 14128 2976.084 8.775 1.781 0.026 0.000
3533 14132 2976.644 8.526 1.907 0.018 0.000
3534 14136 2977.187 8.291 1.909 0.015 0.000
3535 14140 2977.674 7.501 1.881 0.011 0.001
3536 14144 2978.277 8.748 1.812 0.012 0.000
3537 14148 2979.046 8.192 1.828 0.008 0.001
3538 14152 2980.093 6.433 1.832 0.007 0.002
3539 14156 2980.937 7.450 1.845 0.007 0.001
3540 14160 2981.872 4.989 1.888 0.005 0.138
3541 14164 2983.210 9.581 1.899 0.018 0.000
3542 14168 2984.258 9.666 2.064 0.028 0.000
3543 14172 2985.600 9.567 1.957 0.028 0.000
3544 14176 2986.810 9.469 1.945 0.017 0.000
3545 14180 2987.801 9.408 1.860 0.013 0.000
3546 14184 2988.444 9.341 1.895 0.009 0.000
3547 14188 2989.269 9.256 1.850 0.009 0.000
3548 14192 2989.797 9.123 1.860 0.008 0.000
3549 14196 2990.689 9.020 1.827 0.006 0.000
3550 14200 2991.383 8.841 1.892 0.005 0.000
3551 14204 2992.119 8.635 1.952 0.005 0.000
3552 14208 2993.050 8.060 1.977 0.004 0.001
3553 14212 2993.666 5.923 1.841 0.005 0.061
3554 14216 2994.608 9.260 2.041 0.006 0.000
3555 14220 2995.701 9.381 1.931 0.006 0.000
3556 14224 2996.750 9.398 1.922 0.005 0.000
3557 14228 2997.871 9.364 1.894 0.007 0.000
3558 14232 2998.919 9.340 1.870 0.004 0.000
3559 14236 2999.833 9.328 1.897 0.005 0.000
3560 14240 3000.912 9.307 1.897 0.004 0.000
3561 14244 3001.948 9.276 1.803 0.004 0.000
3562 14248 3002.780 9.254 1.886 0.005 0.000
3563 14252 3003.413 9.222 1.774 0.006 0.000
3564 14256 3003.914 9.217 1.811 0.004 0.000
3565 14260 3004.436 9.181 1.824 0.005 0.000
3566 14264 3004.990 9.156 1.816 0.004 0.000
3567 14268 3005.728 9.161 1.941 0.004 0.000
3568 14272 3006.562 9.124 1.783 0.003 0.000
3569 14276 3007.464 9.085 1.853 0.004 0.000
3570 14280 3008.484 9.051 1.885 0.004 0.000
3571 14284 3009.322 9.006 1.848 0.003 0.000
3572 14288 3010.079 8.984 1.837 0.003 0.000
3573 14292 3011.179 8.956 1.842 0.003 0.000
3574 14296 3012.186 8.896 1.862 0.004 0.000
3575 14300 3013.190 8.843 1.951 0.003 0.000
3576 14304 3014.154 8.819 1.804 0.003 0.000
3577 14308 3015.026 8.758 1.847 0.003 0.000
3578 14312 3015.891 8.699 1.965 0.003 0.000
3579 14316 3016.753 8.656 1.905 0.003 0.000
3580 14320 3017.629 8.555 1.884 0.003 0.001
3581 14324 3018.988 8.444 1.963 0.003 0.001
3582 14328 3019.669 8.341 1.958 0.002 0.001
3583 14332 3020.624 8.200 1.875 0.002 0.001
3584 14336 3021.578 7.928 1.876 0.003 0.001
3585 14340 3022.737 7.570 1.967 0.002 0.001
3586 14344 3023.911 6.358 1.897 0.002 0.005
3587 14348 3024.831 7.420 2.058 0.002 0.001
3588 14352 3025.686 5.702 1.993 0.002 0.007
3589 14356 3026.573 7.695 2.079 0.002 0.001
3590 14360 3027.475 7.329 1.963 0.002 0.002
3591 14364 3028.206 5.695 1.835 0.002 0.009
3592 14368 3028.815 4.581 1.870 0.002 0.041
3593 14372 3029.264 4.471 1.913 0.003 0.039
3594 14376 3029.863 5.534 1.960 0.003 0.009
3595 14380 3030.408 4.760 1.962 0.004 0.017
3596 14384 3030.993 5.068 1.976 0.004 0.293
3597 14388 3031.513 6.755 1.888 0.054 0.003
3598 14392 3032.526 4.736 1.790 0.075 0.095
3599 14396 3033.838 8.701 1.784 0.076 0.000
3600 14400 3034.946 8.234 1.881 0.024 0.001
3601 14404 3036.181 6.923 1.820 0.022 0.002
3602 14408 3037.269 3.510 1.737 0.015 0.107
3603 14412 3038.509 8.495 1.856 0.014 0.684
3604 14416 3039.847 4.988 1.765 5.038 0.001
3605 14420 3040.401 0.968 1.758 2.504 0.256
3606 14424 3041.314 3.639 1.863 0.544 2.665
3607 14428 3042.425 4.702 1.737 3.369 1.035
3608 14432 3043.281 1.119 1.649 4.491 2.888
3609 14436 3044.196 1.096 1.657 0.572 1.185
3610 14440 3044.995 1.192 1.635 0.739 0.782
3611 14444 3045.713 1.020 1.699 0.966 0.540
3612 14448 3046.453 1.344 1.562 0.440 0.901
3613 14452 3047.374 1.053 1.620 0.743 0.392
3614 14456 3048.090 1.351 1.559 0.416 0.614
3615 14460 3048.580 1.262 1.642 0.469 0.382
3616 14464 3049.030 0.870 1.649 0.580 0.409
3617 14468 3050.004 2.221 1.604 0.188 0.662
3618 14472 3051.202 1.157 1.747 0.729 0.176
3619 14476 3052.303 1.447 1.688 0.254 0.500
3620 14480 3053.600 1.702 1.822 0.319 0.349
3621 14484 3054.476 1.331 1.654 0.440 0.304
3622 14488 3055.116 2.251 1.685 0.207 0.554
3623 14492 3055.818 0.650 1.785 0.981 0.207
3624 14496 3056.835 2.048 1.751 0.195 1.167
3625 14500 3057.830 1.767 1.785 0.495 0.312
3626 14504 3059.056 0.619 1.796 0.711 0.317
3627 14508 3059.862 3.155 1.779 0.122 1.119
3628 14512 3060.790 0.821 1.700 1.422 0.137
3629 14516 3062.154 1.439 1.757 0.292 0.844
3630 14520 3063.197 2.565 1.659 0.226 0.458
3631 14524 3064.413 1.811 1.777 0.494 0.233
3632 14528 3065.121 1.439 1.745 0.677 0.324
3633 14532 3065.868 1.803 1.856 0.209 1.129
3634 14536 3066.768 1.937 1.664 0.392 0.307
3635 14540 3067.585 2.604 1.729 0.307 0.155
3636 14544 3068.421 3.061 1.715 0.162 0.045
3637 14548 3069.343 2.805 1.852 0.064 0.327
3638 14552 3070.475 3.162 1.931 0.148 0.251
3639 14556 3071.482 2.642 1.866 0.253 0.235
3640 14560 3072.759 2.701 1.848 0.119 0.192
3641 14564 3073.732 2.551 1.861 0.116 0.292
3642 14568 3074.765 1.878 1.737 0.335 0.161
3643 14572 3075.541 1.323 1.903 0.342 0.208
3644 14576 3076.295 3.849 1.870 0.078 0.946
3645 14580 3077.101 2.046 1.714 1.552 0.029
3646 14584 3077.707 1.464 1.941 0.169 0.389
3647 14588 3078.211 1.300 1.807 0.293 0.355
3648 14592 3078.795 2.423 1.777 0.109 0.590
3649 14596 3079.834 0.522 1.736 0.929 0.138
3650 14600 3081.015 3.179 1.742 0.038 1.248
3651 14604 3082.286 2.738 1.721 0.565 0.085
3652 14608 3083.671 1.174 1.662 0.540 0.137
3653 14612 3084.519 1.885 1.700 0.120 0.638
3654 14616 3085.474 2.992 1.781 0.165 0.447
3655 14620 3086.802 2.243 1.825 1.019 0.068
3656 14624 3087.874 2.541 1.681 0.094 0.281
3657 14628 3089.149 2.834 1.700 0.046 0.423
3658 14632 3090.644 2.109 1.795 0.317 0.169
3659 14636 3091.372 1.658 1.715 0.266 0.248
3660 14640 3092.140 2.859 1.828 0.121 0.482
3661 14644 3092.764 0.729 1.836 1.024 0.128
3662 14648 3093.211 2.564 1.830 0.067 0.812
3663 14652 3093.867 2.147 1.775 0.477 0.151
3664 14656 3094.645 1.038 1.756 0.522 0.211
3665 14660 3095.390 2.626 1.707 0.075 0.840
3666 14664 3096.182 2.455 1.697 0.407 0.140
3667 14668 3096.899 2.806 1.859 0.143 0.285
3668 14672 3097.914 3.269 2.009 0.188 0.064
3669 14676 3099.863 2.551 2.172 0.290 0.348
3670 14680 3101.167 2.773 2.297 0.160 0.241
3671 14684 3101.740 2.367 2.286 0.342 0.118
3672 14688 3102.258 2.384 1.959 0.208 0.271
3673 14692 3102.739 3.141 2.018 0.071 0.282
3674 14696 3103.305 1.603 1.904 0.536 0.071
3675 14700 3103.841 2.289 1.791 0.051 0.332
3676 14704 3104.430 2.845 1.803 0.102 0.146
3677 14708 3105.242 2.510 1.825 0.162 0.106
3678 14712 3105.948 2.456 1.734 0.107 0.152
3679 14716 3106.643 2.477 1.679 0.128 0.169
3680 14720 3107.338 2.388 1.850 0.222 0.195
3681 14724 3108.026 2.495 1.956 0.227 0.218
3682 14728 3108.703 3.615 1.889 0.047 0.230
3683 14732 3109.296 3.172 1.832 0.133 0.099
3684 14736 3110.005 2.295 1.910 0.231 0.143
3685 14740 3110.782 2.883 2.082 0.125 0.304
3686 14744 3111.476 1.777 2.207 0.300 0.086
3687 14748 3112.536 3.709 2.123 0.038 0.299
3688 14752 3113.653 4.183 1.999 0.091 0.024
3689 14756 3114.251 2.651 1.951 0.127 0.103
3690 14760 3114.770 2.225 1.826 0.168 0.131
3691 14764 3115.322 2.713 1.840 0.084 0.127
3692 14768 3116.317 3.593 1.927 0.023 0.225
3693 14772 3117.229 1.918 1.768 0.412 0.072
3694 14776 3118.677 3.870 1.822 0.076 0.359
3695 14780 3120.669 1.691 1.775 0.470 0.099
3696 14784 3121.929 6.072 1.744 0.068 0.636
3697 14788 3122.971 0.903 1.640 1.285 0.156
3698 14792 3123.530 2.811 1.828 0.339 1.405
3699 14796 3124.319 2.345 1.921 0.909 0.629
3700 14800 3125.515 3.607 2.072 0.618 0.025
3701 14804 3126.666 6.161 1.908 0.073 0.004
3702 14808 3127.795 3.608 1.820 0.015 0.036
3703 14812 3128.967 4.709 2.131 0.005 1.818
3704 14816 3130.026 4.183 1.932 1.028 0.009
3705 14820 3131.207 2.139 1.775 0.103 0.259
3706 14824 3132.416 2.820 1.747 0.092 0.280
3707 14828 3133.135 4.390 1.710 0.149 0.020
3708 14832 3133.726 3.137 1.874 0.036 0.325
3709 14836 3134.631 4.074 1.733 0.223 0.025
3710 14840 3135.607 2.779 1.718 0.078 0.244
3711 14844 3136.329 2.466 1.688 0.234 0.122
3712 14848 3137.050 3.958 1.724 0.084 0.028
3713 14852 3138.079 2.896 1.642 0.059 0.241
3714 14856 3139.036 2.718 1.756 0.175 0.123
3715 14860 3139.759 6.430 1.780 0.135 0.002
3716 14864 3140.339 3.477 1.753 0.048 0.037
3717 14868 3141.032 4.649 1.795 0.029 0.012
3718 14872 3141.777 3.557 1.791 0.028 0.598
3719 14876 3142.634 4.275 1.698 0.110 0.035
3720 14880 3143.729 3.087 1.837 0.160 0.061
3721 14884 3144.671 2.502 1.816 0.177 0.086
3722 14888 3145.915 2.954 1.910 0.062 0.081
3723 14892 3146.568 3.054 1.841 0.060 0.127
3724 14896 3147.427 3.277 1.812 0.035 0.154
3725 14900 3148.377 3.145 2.038 0.142 0.058
3726 14904 3149.354 3.970 1.874 0.061 0.025
3727 14908 3150.184 3.014 1.869 0.073 0.228
3728 14912 3150.961 4.509 2.008 0.091 0.014
3729 14916 3151.677 2.994 2.175 0.075 0.226
3730 14920 3152.110 4.248 1.858 0.246 0.010
3731 14924 3152.717 2.509 1.903 0.076 0.089
3732 14928 3153.230 3.172 1.875 0.039 0.082
3733 14932 3153.797 3.588 1.782 0.054 0.192
3734 14936 3154.427 5.889 1.698 0.132 0.004
3735 14940 3155.075 3.229 1.860 0.048 0.106
3736 14944 3156.496 6.363 1.838 0.101 0.003
3737 14948 3157.714 3.127 1.896 0.048 0.216
3738 14952 3158.852 3.705 2.044 0.056 0.097
3739 14956 3159.884 8.379 2.284 0.099 0.001
3740 14960 3160.906 8.550 2.308 0.027 0.000
3741 14964 3161.571 8.253 2.063 0.034 0.001
3742 14968 3162.120 7.841 2.138 0.019 0.001
3743 14972 3162.706 7.399 2.230 0.011 0.001
3744 14976 3163.358 6.821 2.121 0.014 0.002
3745 14980 3163.950 5.663 2.213 0.007 0.008
3746 14984 3164.533 4.815 2.253 0.004 0.435
3747 14988 3165.305 6.390 2.069 0.162 0.004
3748 14992 3166.222 5.162 2.301 0.061 0.009
3749 14996 3167.413 6.408 2.073 0.063 0.003
3750 15000 3168.651 5.397 2.052 0.036 0.006
3751 15004 3169.883 2.895 2.023 0.009 0.114
3752 15008 3171.347 4.554 1.887 0.012 0.018
3753 15012 3172.754 3.452 1.743 0.012 0.060
3754 15016 3174.000 3.540 2.064 0.019 0.061
3755 15020 3174.836 3.433 2.030 0.025 0.087
3756 15024 3175.718 3.336 2.040 0.046 0.112
3757 15028 3176.501 3.207 2.218 0.125 0.070
3758 15032 3177.290 3.637 2.299 0.061 0.051
3759 15036 3178.009 2.922 2.158 0.108 0.149
3760 15040 3178.949 3.598 1.845 0.124 0.032
3761 15044 3179.654 4.390 1.943 0.046 0.010
3762 15048 3180.186 3.664 2.174 0.030 0.101
3763 15052 3180.700 5.273 1.985 0.032 0.209
3764 15056 3181.328 2.243 1.830 0.585 0.008
3765 15060 3182.270 5.027 1.796 0.135 0.585
3766 15064 3183.326 0.756 1.765 1.088 0.190
3767 15068 3184.424 5.304 1.791 0.052 1.731
3768 15072 3185.339 1.995 1.790 2.739 0.039
3769 15076 3186.349 1.781 1.670 0.258 0.268
3770 15080 3187.071 3.737 1.812 0.064 0.465
3771 15084 3187.997 2.984 2.052 0.513 0.472
3772 15088 3188.920 3.043 2.067 0.797 0.343
3773 15092 3190.154 2.672 1.746 0.350 0.501
3774 15096 3191.260 4.169 1.659 0.089 0.385
3775 15100 3191.945 0.782 1.898 1.049 0.124
3776 15104 3192.531 3.878 1.727 0.027 0.956
3777 15108 3193.146 1.803 1.648 0.663 0.085
3778 15112 3194.023 2.323 1.723 0.190 0.389
3779 15116 3194.827 2.550 1.646 0.212 0.142
3780 15120 3195.604 3.280 1.995 0.078 0.438
3781 15124 3196.490 2.743 2.006 0.229 0.120
3782 15128 3197.515 2.549 2.007 0.122 0.122
3783 15132 3198.634 1.632 1.805 0.314 0.113
3784 15136 3199.428 3.141 1.838 0.068 0.419
3785 15140 3200.204 2.192 1.990 0.335 0.145
3786 15144 3201.204 2.840 1.922 0.084 0.134
3787 15148 3202.298 3.186 1.831 0.112 0.058
3788 15152 3203.332 3.059 1.954 0.065 0.295
3789 15156 3204.190 3.007 1.754 0.172 0.074
3790 15160 3205.111 2.665 1.849 0.113 0.084
3791 15164 3206.553 2.496 1.860 0.146 0.072
3792 15168 3207.309 2.840 1.898 0.033 0.107
3793 15172 3208.238 2.888 1.819 0.086 0.142
3794 15176 3209.126 2.705 1.912 0.135 0.173
3795 15180 3210.225 2.982 1.946 0.147 0.049
3796 15184 3210.691 3.282 2.012 0.062 0.248
3797 15188 3211.140 3.453 1.876 0.113 0.051
3798 15192 3211.607 3.026 1.993 0.141 0.027
3799 15196 3212.088 5.490 2.528 0.030 0.518
3800 15200 3212.523 1.175 2.632 0.758 0.049
3801 15204 3212.994 2.690 2.264 0.060 0.226
3802 15208 3213.370 3.550 1.992 0.049 0.048
3803 15212 3213.790 4.591 1.988 0.073 0.662
3804 15216 3214.652 3.695 1.904 0.736 0.008
3805 15220 3215.434 2.513 1.901 0.076 0.108
3806 15224 3216.295 3.156 1.929 0.053 0.272
3807 15228 3217.368 2.394 1.820 0.296 0.118
3808 15232 3218.529 3.442 1.828 0.043 0.329
3809 15236 3219.699 3.894 1.925 0.167 0.026
3810 15240 3220.655 2.791 1.861 0.086 0.105
3811 15244 3221.525 2.488 1.983 0.202 0.221
3812 15248 3222.377 2.978 2.001 0.140 0.110
3813 15252 3223.264 3.428 1.978 0.091 0.037
3814 15256 3223.962 3.756 2.420 0.048 0.110
3815 15260 3224.754 3.823 2.368 0.191 0.240
3816 15264 3225.509 3.185 2.388 0.180 0.032
3817 15268 3226.094 3.325 2.090 0.040 0.073
3818 15272 3226.673 3.746 2.088 0.029 0.100
3819 15276 3227.174 5.220 2.108 0.066 0.336
3820 15280 3227.902 1.639 2.135 1.166 0.026
3821 15284 3228.694 5.065 2.139 0.099 0.589
3822 15288 3229.654 0.616 2.336 1.711 0.273
3823 15292 3230.927 4.149 1.987 0.043 1.014
3824 15296 3232.839 3.469 1.890 0.399 0.071
3825 15300 3234.112 1.847 1.931 0.234 0.089
3826 15304 3234.696 3.136 1.769 0.092 0.478
3827 15308 3235.213 3.387 1.940 0.172 0.169
3828 15312 3235.808 2.205 1.924 0.425 0.042
3829 15316 3236.311 2.676 1.868 0.072 0.345
3830 15320 3236.852 3.336 1.790 0.179 0.318
3831 15324 3237.421 3.567 2.030 0.137 0.224
3832 15328 3237.877 2.638 1.822 0.268 0.079
3833 15332 3238.443 2.656 1.823 0.100 0.081
3834 15336 3239.444 3.048 1.966 0.044 0.082
3835 15340 3240.430 5.591 1.741 0.085 0.818
3836 15344 3241.232 2.302 1.882 1.093 0.017
3837 15348 3242.403 1.894 1.795 0.137 0.230
3838 15352 3243.313 2.833 1.702 0.102 0.660
3839 15356 3244.031 3.190 1.792 0.409 0.096
3840 15360 3245.185 3.241 1.688 0.044 0.112
3841 15364 3246.399 3.286 1.832 0.076 0.112
3842 15368 3247.333 3.311 2.064 0.077 0.115
3843 15372 3247.891 3.411 2.039 0.091 0.099
3844 15376 3248.423 4.228 1.881 0.105 0.018
3845 15380 3248.980 3.352 1.841 0.054 0.045
3846 15384 3249.700 3.255 1.898 0.034 0.302
3847 15388 3250.645 3.557 1.877 0.087 0.073
3848 15392 3251.500 8.361 1.930 0.196 0.000
