#iter iter*batch time loss_G_GAN loss_G_L1 loss_D_real loss_D_fake
132 528 115.367 4.908 2.231 0.016 0.011
133 532 117.014 4.741 2.074 0.015 0.012
134 536 118.107 3.557 2.070 0.014 0.036
135 540 119.145 3.888 1.944 0.015 0.027
136 544 119.941 5.296 2.119 0.016 0.008
137 548 120.615 5.163 2.213 0.014 0.010
138 552 121.249 4.738 2.102 0.014 0.018
139 556 121.859 4.997 2.157 0.013 0.013
140 560 122.523 4.441 2.024 0.013 0.026
141 564 123.077 4.012 1.966 0.013 0.053
142 568 124.253 5.512 2.107 0.014 0.007
143 572 125.512 3.805 2.239 0.014 0.052
144 576 126.362 5.511 2.360 0.016 0.005
145 580 126.940 5.822 2.270 0.015 0.004
146 584 127.433 5.598 2.372 0.015 0.005
147 588 128.097 5.339 2.158 0.014 0.006
148 592 128.913 5.201 2.155 0.012 0.008
149 596 129.537 4.914 2.162 0.013 0.012
150 600 130.287 4.683 2.100 0.012 0.018
151 604 131.764 4.179 2.028 0.010 0.086
152 608 132.957 5.725 2.263 0.015 0.006
153 612 133.952 5.682 2.305 0.018 0.005
154 616 134.717 4.813 2.257 0.016 0.012
155 620 135.298 3.438 2.331 0.014 0.062
156 624 135.966 4.538 2.121 0.014 0.015
157 628 136.604 3.835 2.197 0.013 0.035
158 632 137.149 3.864 2.078 0.014 0.032
159 636 137.701 3.894 2.070 0.015 0.030
160 640 138.257 4.569 2.035 0.015 0.014
161 644 139.635 5.750 2.177 0.015 0.004
162 648 141.127 4.589 2.159 0.014 0.036
163 652 142.600 4.661 2.387 0.019 0.025
164 656 143.878 3.908 2.361 0.016 0.125
165 660 145.105 4.340 2.333 0.020 0.038
166 664 146.049 4.141 2.090 0.022 0.040
167 668 146.623 4.554 1.964 0.022 0.021
168 672 147.020 4.595 2.192 0.019 0.019
169 676 147.498 4.724 1.986 0.017 0.016
170 680 147.949 4.611 2.167 0.019 0.017
171 684 148.415 6.623 2.173 0.015 0.003
172 688 148.961 4.574 2.124 0.015 0.051
173 692 149.636 4.429 2.294 0.039 0.036
174 696 150.320 4.074 2.424 0.021 0.066
175 700 151.275 4.231 2.307 0.026 0.042
176 704 152.230 4.145 2.133 0.024 0.042
177 708 153.005 4.602 2.162 0.025 0.025
178 712 153.550 4.390 2.190 0.026 0.029
179 716 154.424 4.504 2.133 0.021 0.031
180 720 155.368 6.482 2.282 0.021 0.002
181 724 156.225 5.791 2.415 0.019 0.004
182 728 157.369 5.195 2.288 0.015 0.008
183 732 158.738 4.941 2.134 0.014 0.011
184 736 159.496 4.483 2.134 0.013 0.017
185 740 160.178 3.949 2.107 0.012 0.033
186 744 160.701 3.852 2.090 0.013 0.041
187 748 161.271 5.129 2.022 0.014 0.014
188 752 161.929 5.215 2.082 0.016 0.010
189 756 162.543 4.812 2.264 0.015 0.014
190 760 163.502 4.328 2.189 0.014 0.051
191 764 164.500 4.470 2.179 0.018 0.061
192 768 165.784 6.017 2.299 0.054 0.004
193 772 166.690 4.401 2.114 0.019 0.017
194 776 167.418 6.097 2.155 0.014 0.003
195 780 167.962 6.206 2.360 0.012 0.016
196 784 168.954 5.155 2.322 0.012 0.009
197 788 169.494 5.158 2.279 0.011 0.011
198 792 170.265 4.408 2.041 0.010 0.066
199 796 170.961 4.850 2.424 0.016 0.015
200 800 171.598 4.847 2.191 0.017 0.012
201 804 172.442 4.671 2.106 0.016 0.014
202 808 173.197 4.987 2.258 0.014 0.009
203 812 173.758 4.269 1.960 0.011 0.021
204 816 175.023 6.384 2.091 0.012 0.234
205 820 175.703 2.950 2.073 3.127 0.002
206 824 176.493 0.595 1.971 1.419 0.375
207 828 177.384 1.613 1.966 0.183 2.655
208 832 178.286 3.021 1.816 0.919 1.951
209 836 179.173 1.706 1.781 2.854 1.063
210 840 179.766 0.664 1.839 1.700 0.559
211 844 180.303 0.923 1.850 0.777 1.433
212 848 180.780 0.921 1.772 0.858 1.190
213 852 181.850 0.995 1.809 0.876 0.791
214 856 182.915 0.867 1.713 1.017 0.695
215 860 184.011 0.910 1.811 0.712 0.715
216 864 184.897 1.003 1.846 0.594 0.630
217 868 185.548 1.114 1.888 0.525 0.501
218 872 186.432 1.172 1.877 0.525 0.467
219 876 187.513 1.150 1.742 0.522 0.439
220 880 188.475 1.244 1.792 0.399 0.462
221 884 189.218 1.259 1.790 0.443 0.429
222 888 189.955 1.326 1.777 0.435 0.527
223 892 190.513 1.432 1.841 0.490 0.620
224 896 191.162 1.122 1.782 0.693 0.543
225 900 191.894 1.171 1.886 0.582 0.787
226 904 192.892 1.158 1.993 0.614 0.622
227 908 194.249 1.058 2.034 0.663 0.503
228 912 195.115 1.060 1.938 0.525 0.504
229 916 195.926 1.292 1.882 0.366 0.532
230 920 197.065 1.350 1.833 0.522 0.475
231 924 198.115 1.200 1.898 0.445 0.458
232 928 198.706 1.279 1.907 0.530 0.710
233 932 199.289 1.037 2.042 0.811 0.604
234 936 200.021 1.108 2.159 0.669 0.662
235 940 200.677 0.971 2.120 0.669 0.553
236 944 201.200 0.920 1.874 0.609 0.551
237 948 201.783 0.968 2.013 0.562 0.614
238 952 202.341 1.055 1.904 0.490 0.518
239 956 203.596 0.919 1.978 0.542 0.511
240 960 204.502 1.195 1.975 0.487 0.677
241 964 205.420 0.857 1.949 0.820 0.507
242 968 206.347 1.081 2.133 0.495 0.680
243 972 207.338 0.918 1.962 0.676 0.527
244 976 208.555 1.011 1.993 0.524 0.630
245 980 209.466 1.154 1.926 0.657 0.715
246 984 209.912 0.813 1.881 0.775 0.450
247 988 210.351 0.934 1.927 0.541 0.711
248 992 210.859 0.879 1.673 0.607 0.584
249 996 211.383 1.062 2.036 0.511 1.040
250 1000 212.101 1.303 2.286 0.750 0.741
251 1004 212.715 1.007 2.219 0.922 0.561
252 1008 213.412 0.697 1.795 0.613 0.451
253 1012 214.268 0.941 2.203 0.386 1.682
254 1016 215.091 1.099 2.119 1.058 0.647
255 1020 215.969 0.660 1.830 1.210 0.461
256 1024 216.790 0.645 1.760 0.642 0.817
257 1028 217.664 0.838 1.713 0.607 0.791
258 1032 218.337 0.808 1.534 0.789 0.569
259 1036 219.010 0.901 1.746 0.588 0.648
260 1040 219.646 0.932 1.704 0.588 0.626
261 1044 220.563 0.921 1.741 0.661 0.637
262 1048 221.735 1.009 1.862 0.641 0.608
263 1052 222.997 0.896 1.773 0.691 0.565
264 1056 223.587 0.905 1.814 0.618 0.600
265 1060 224.289 0.897 1.753 0.560 0.621
266 1064 225.033 0.873 1.718 0.607 0.607
267 1068 225.863 1.098 2.070 0.524 0.753
268 1072 226.844 0.902 1.823 0.783 0.578
269 1076 228.233 0.873 2.008 0.733 0.902
270 1080 229.004 0.907 1.886 0.812 0.635
271 1084 229.724 0.899 1.851 0.722 0.576
272 1088 230.507 0.932 1.888 0.618 0.604
273 1092 231.055 1.034 1.770 0.544 0.555
274 1096 231.726 1.069 1.774 0.459 0.521
275 1100 232.563 1.124 1.865 0.404 0.655
